,src0,src1,dst,Instruction,Family,CPNUM[2:0],,,COPC[8:0],,,,,,,,,CPREG[11:0],,,,,,,,,,,,Hardware,,,,,,,,Software,,,,,,,,,Software Temp,,,,,Hardware Temp,Operand Width,,Operand width,Instruction number,,,,,,,,,
Operand width,8,N/A,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:17],CPINST[16:13],,,,,,,,,,,,,Imm3,,,,,,,,,,,,,,,,,,,,
,,,,RELU.8,Special function instruction,Rd,Rn,Rm,0,0,1,0,0,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,,,,RELU.8,4'h2,4'h2,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",,,RELU.8,CDP,4'h4,3'h2,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",,,4,4,2,2,,4'h,2,2,4'h,2,2,,,,,,,,
,,,,NOT,Logical instruction,Rd,Rn,Rm,0,0,1,0,0,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,,,,NOT,4'h2,4'h7,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",,,NOT,CDP,4'h4,3'h7,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",,,4,4,7,7,,4'h,2,2,4'h,7,7,,,,,,,,
,,,,MOV.8,Move and format instruction,Rd,Rn,Rm,0,0,1,0,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,,,,MOV.8,4'h2,4'h8,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",,,MOV.8,CDP,4'h5,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",,,5,5,0,0,,4'h,2,2,4'h,8,8,,,,,,,,
,,,,ASR.8,Shift instruction,Rd,Rn,Rm,0,0,1,0,1,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,imm2,imm1,imm0,ASR.8,4'h2,4'h9,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",Imm3[2:0]=CPINST[2:0],,ASR.8,CDP,4'h5,3'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm3[2:0]=CRm[2:0],,5,5,1,1,,4'h,2,2,4'h,9,9,,,,,,,,
,,,,LSR.8,Shift instruction,Rd,Rn,Rm,0,0,1,0,1,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,imm2,imm1,imm0,LSR.8,4'h2,4'hA,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",Imm3[2:0]=CPINST[2:0],,LSR.8,CDP,4'h5,3'h2,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm3[2:0]=CRm[2:0],,5,5,2,2,,4'h,2,2,4'h,10,A,,,,,,,,
,,,,LSL.8,Shift instruction,Rd,Rn,Rm,0,0,1,0,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,imm2,imm1,imm0,LSL.8,4'h2,4'hB,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",Imm3[2:0]=CPINST[2:0],,LSL.8,CDP,4'h5,3'h3,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm3[2:0]=CRm[2:0],,5,5,3,3,,4'h,2,2,4'h,11,B,,,,,,,,
,,,,ROL.8,Shift instruction,Rd,Rn,Rm,0,0,1,0,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,,imm2,imm1,imm0,ROL.8,4'h2,4'hC,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",Imm3[2:0]=CPINST[2:0],,ROL.8,CDP,4'h5,3'h4,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm3[2:0]=CRm[2:0],,5,5,4,4,,4'h,2,2,4'h,12,C,,,,,,,,
Operand width,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:17],CPINST[16:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ADD.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADD.16,4'h3,4'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADD.16,CDP,4'h6,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,0,0,,4'h,3,3,4'h,0,0,,,,,,,,
,,,,SUB.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SUB.16,4'h3,4'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SUB.16,CDP,4'h6,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,1,1,,4'h,3,3,4'h,1,1,,,,,,,,
,,,,ADDS.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADDS.16,4'h3,4'h2,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADDS.16,CDP,4'h6,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,2,2,,4'h,3,3,4'h,2,2,,,,,,,,
,,,,SUBS.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SUBS.16,4'h3,4'h3,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SUBS.16,CDP,4'h6,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,3,3,,4'h,3,3,4'h,3,3,,,,,,,,
,,,,ADC.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADC.16,4'h3,4'h4,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADC.16,CDP,4'h6,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,4,4,,4'h,3,3,4'h,4,4,,,,,,,,
,,,,SBC.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,1,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SBC.16,4'h3,4'h5,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SBC.16,CDP,4'h6,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,5,5,,4'h,3,3,4'h,5,5,,,,,,,,
,,,,ADCS.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,1,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADCS.16,4'h3,4'h6,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADCS.16,CDP,4'h6,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,6,6,,4'h,3,3,4'h,6,6,,,,,,,,
,,,,SBCS.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,0,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SBCS.16,4'h3,4'h7,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SBCS.16,CDP,4'h6,3'h7,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,6,6,7,7,,4'h,3,3,4'h,7,7,,,,,,,,
,,,,UMAX.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMAX.16,4'h3,4'h8,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMAX.16,CDP,4'h7,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,0,0,,4'h,3,3,4'h,8,8,,,,,,,,
,,,,SMAX.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,1,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMAX.16,4'h3,4'h9,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMAX.16,CDP,4'h7,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,1,1,,4'h,3,3,4'h,9,9,,,,,,,,
,,,,UMIN.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,1,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMIN.16,4'h3,4'hA,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMIN.16,CDP,4'h7,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,2,2,,4'h,3,3,4'h,10,A,,,,,,,,
,,,,SMIN.16,Arithmetic instruction,Rd,Rn,Rm,0,0,1,1,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMIN.16,4'h3,4'hB,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMIN.16,CDP,4'h7,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,3,3,,4'h,3,3,4'h,11,B,,,,,,,,
,,,,UMMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMMUL.16,4'h3,4'hC,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMMUL.16,CDP,4'h7,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,4,4,,4'h,3,3,4'h,12,C,,,,,,,,
,,,,SMMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMMUL.16,4'h3,4'hD,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMMUL.16,CDP,4'h7,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,5,5,,4'h,3,3,4'h,13,D,,,,,,,,
,,,,UMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMUL.16,4'h3,4'hE,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMUL.16,CDP,4'h7,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,6,6,,4'h,3,3,4'h,14,E,,,,,,,,
,,,,SMUL.16,Multiply instruction,Rd,Rn,Rm,0,0,1,1,1,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMUL.16,4'h3,4'hF,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMUL.16,CDP,4'h7,3'h7,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,7,7,7,7,,4'h,3,3,4'h,15,F,,,,,,,,
Operand width,16,N/A,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:16],CPINST[15:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EXP2.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,EXP2.16,5'h8,3'h0,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,EXP2.16,CDP,4'h8,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,0,0,,5'h,8,8,3'h,0,0,,,,,,,,
,,,,LOG2.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,LOG2.16,5'h8,3'h1,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,LOG2.16,CDP,4'h8,3'h1,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,1,1,,5'h,8,8,3'h,1,1,,,,,,,,
,,,,RCP.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,RCP.16,5'h8,3'h2,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,RCP.16,CDP,4'h8,3'h2,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,2,2,,5'h,8,8,3'h,2,2,,,,,,,,
,,,,RSQRT.16,Special function instruction,Rd,Rn,Rm,0,1,0,0,0,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,RSQRT.16,5'h8,3'h3,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,RSQRT.16,CDP,4'h8,3'h3,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,8,8,3,3,,5'h,8,8,3'h,3,3,,,,,,,,
Operand width,16,N/A,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:16],CPINST[15:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ASR.16,Shift instruction,Rd,Rn,Rm,0,1,0,0,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,imm3,imm2,imm1,imm0,ASR.16,5'h9,3'h0,"CPNUM[1], CPINST[11:8]",,"CPNUM[2],CPINST[7:4]",CPINST[3:0],,ASR.16,CDP,4'h9,3'h0,"CPNUM[1], CRn[3:0]",,"CPNUM[2],CRd[3:0]",Imm4[3:0]=CRm[3:0],,9,9,0,0,,5'h,9,9,3'h,0,0,,,,,,,,
